island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
21,0,-3.09E-06,1.02E-05,39:01.1,+59:22:57.55,294.7545998,4.27E-06,59.38265358,2.23E-06,0.000712207,7.05E-06,0.002102501,2.14E-05,3.609486243,0.006642195,1.132369823,0.001676168,66.2174442,0.006078082,0,-1.62E-05,4.19E-05,84e204ac-2e9b-4510-b638-2221d65aa257,1.304220831,1.061579203,66.73296367
22,0,8.42E-07,8.31E-06,39:11.6,+59:23:01.38,294.798414,3.58E-05,59.38371607,3.21E-05,4.33E-05,7.55E-06,4.33E-05,7.55E-06,1.304221028,-1,1.061579079,-1,66.77065192,-1,4,-4.55E-08,1.08E-06,d41c03a8-8e7f-4d45-964a-17e9227c7416,1.304221028,1.061579079,66.77065192
23,0,1.00E-06,8.80E-06,39:28.2,+59:23:52.12,294.8673456,9.51E-06,59.39781032,8.19E-06,0.000151077,8.46E-06,0.000160523,9.24E-06,1.361713572,0.012949361,1.08032734,0.01011886,65.65339183,0.186170905,0,-2.24E-07,3.47E-06,56077f3f-e59c-47ab-be3e-c49b844649c4,1.304221826,1.061579067,66.82994906
24,0,1.01E-07,8.48E-06,39:09.7,+59:23:58.03,294.7905573,6.71E-06,59.39945303,5.74E-06,0.000216434,7.98E-06,0.000265266,1.01E-05,1.468057861,0.009253768,1.155892306,0.00719573,65.76981216,0.121143823,0,-4.30E-08,4.74E-06,8c5e436b-0fb3-4a79-9c4f-466691e4f881,1.304221064,1.061579355,66.76388751
1,0,-2.25E-07,8.65E-06,39:37.5,+59:16:28.09,294.90629,1.73E-05,59.27447068,1.47E-05,8.56E-05,8.32E-06,9.77E-05,9.80E-06,1.428405808,0.025294468,1.106240684,0.019037158,65.41841689,0.309754432,0,2.40E-08,2.22E-06,6995ed7d-42d6-484e-9067-f2190858e3c1,1.304221143,1.061579709,66.86343985
2,0,-7.15E-08,8.36E-06,39:07.4,+59:16:48.91,294.7809794,4.09E-05,59.2802536,4.01E-05,4.30E-05,8.31E-06,5.72E-05,1.21E-05,1.435577586,0.078579685,1.283633842,0.085545708,63.9658618,2.038490395,0,4.37E-08,6.59E-07,021d9961-d2c2-44c4-911e-4e8064329acf,1.304220839,1.0615791,66.75565558
3,0,-1.71E-06,8.81E-06,39:37.2,+59:17:01.55,294.9050515,4.61E-06,59.2837647,3.67E-06,0.000338901,8.42E-06,0.000393999,1.00E-05,1.488020548,0.006220036,1.081725978,0.004244082,66.64502533,0.062860338,0,-7.52E-07,1.02E-05,169f7fcf-cd8d-4ac9-9068-c3f9d9083878,1.304221196,1.061579503,66.86237897
4,0,-6.04E-07,8.80E-06,39:36.6,+59:17:17.83,294.9024393,5.95E-05,59.28828686,3.15E-05,4.74E-05,8.41E-06,7.19E-05,1.37E-05,2.20555627,0.137285294,0.952227239,0.028430847,67.31106977,0.258674693,0,-1.64E-08,9.76E-07,749c7b83-c895-4e88-8cfe-008584db5ee4,1.304221205,1.061579403,66.86013381
5,0,-8.91E-07,8.39E-06,39:39.7,+59:17:28.36,294.9152013,3.76E-05,59.29120992,2.48E-05,4.70E-05,8.41E-06,4.42E-05,8.33E-06,1.441631505,0.073168715,0.901960157,0.027815311,65.0538847,0.379364017,0,-1.07E-07,1.61E-06,84f51908-268e-4eaf-ba36-6ec12215bff1,1.304221344,1.0615794,66.87111397
7,0,9.70E-07,8.83E-06,39:22.9,+59:18:26.16,294.8453437,4.97E-06,59.30726621,3.93E-06,0.00031379,8.38E-06,0.00036502,1.00E-05,1.488318853,0.006556528,1.082142206,0.004482758,67.0769458,0.068032918,0,-2.16E-08,1.04E-05,829f723b-cba2-4532-8ee8-5136f3a6c0a6,1.304220931,1.061578944,66.81102463
