waveAng,fluxmaggies
91.0,8.830683787856665e-23
94.0,1.6373846646080987e-22
96.0,2.5803875281445597e-22
98.0,4.1320883122984557e-22
100.0,6.42695166006196e-22
102.0,8.655839885005034e-22
104.0,1.3024926887259695e-21
106.0,1.9915482385582657e-21
107.99999999999999,5.387400028021865e-21
110.0,4.109914973289513e-21
114.0,1.4987627933494958e-20
118.0,2.67323451777162e-20
120.99999999999999,4.897775899851266e-20
125.0,7.97588525482938e-20
127.00000000000001,1.0317227598738982e-19
128.0,1.1161161139148136e-19
131.0,1.0228461883757149e-19
132.0,9.37957520620391e-20
134.0,1.6129516222793485e-19
137.0,2.216910795227791e-19
140.0,4.501657092685308e-19
143.0,6.318014220179042e-19
147.0,9.009170454516762e-19
151.0,1.2168119021886546e-18
155.0,1.7606976513773143e-18
159.0,2.7322271157860064e-18
162.0,3.1190590172567142e-18
166.0,4.032374805924556e-18
170.0,4.866378957927332e-18
173.0,7.886786737735607e-18
177.0,1.0567567989947226e-17
180.0,1.2198971550255417e-17
182.0,1.2227428859648732e-17
186.0,2.2120211034060826e-17
191.0,1.537050245953234e-17
194.0,2.946981964626926e-17
198.0,4.632558396850175e-17
202.0,5.3137532536733086e-17
205.0,6.302440514104065e-17
210.0,8.863038335417871e-17
215.99999999999997,1.5316358204215514e-16
220.0,1.674785215867015e-16
222.99999999999997,1.9743981191205235e-16
227.0,2.347469444211522e-16
230.0,5.453426070761806e-16
234.0,6.575188736912011e-16
240.0,1.0688682987349778e-15
246.0,8.707751931477643e-15
252.0,1.5888621092020935e-14
257.0,2.4783554251819535e-14
260.0,1.3644288179021235e-14
264.0,1.3966909070965207e-14
269.0,2.290999276310018e-14
274.0,4.859537473194005e-14
279.0,3.012353527396413e-14
284.0,5.1229053272027443e-14
290.0,2.4978737509318213e-14
296.0,4.525442420734235e-14
301.0,7.887407412166897e-14
308.0,1.190207381882105e-13
318.0,1.0214759803396386e-13
328.0,2.2193502366060631e-13
338.0,1.5547136882046252e-13
348.0,3.157792518413696e-13
357.0,1.6059065448385744e-13
366.0,4.0154617580474173e-13
375.0,2.741090843229402e-13
385.0,6.839186014835672e-13
395.0,6.248001622132735e-13
405.0,8.203657672810266e-13
414.0,1.0738372862873515e-12
422.0,1.3251381091492188e-12
